booktitle,author,key,title
,Dennis McLeod,journals/vldb/AslanM99,Semantic Heterogeneity Resolution in Federated Databases by Metadata Implantation and Stepwise Evolution.
ICARCV,Arnaud Doucet,conf/icarcv/SinghTD02,A policy gradient method for SMDPs with application to call admission control.
INTERSPEECH,Yoshua Bengio,conf/interspeech/MesnilHDB13,Investigation of recurrent-neural-network architectures and learning methods for spoken language understanding.
,Gerhard Weiss,journals/ml/HuhnsW98,Guest Editorial.
ICDCS,Hector Garcia-Molina,conf/icdcs/KetchpelG96,Making Trust Explicit in Distributed Commerce Transactions.
ICIAP,Edwin R. Hancock,conf/iciap/ZouZH09,Reconstructing 3D Facial Shape Using Spherical Harmonics.
ECCV (7),Ming-Hsuan Yang 0001,conf/eccv/ChenYLWY14,Spatiotemporal Background Subtraction Using Minimum Spanning Tree and Optical Flow.
LBSN@SIGSPATIAL/GIS,Jagan Sankaranarayanan,conf/gis/FuSS14,"WeiboStand: capturing Chinese breaking news using Weibo ""tweets""."
,Yunhao Liu,journals/tmc/ChenWLJHL16,Privacy-Aware High-Quality Map Generation with Participatory Sensing.
FSR,Paul Scerri,conf/fsr/ValadaVKTKS12,Development of a Low Cost Multi-Robot Autonomous Marine Surface Platform.
,Mingsheng Ying,journals/corr/LiY14,(Un)decidable Problems about Reachability of Quantum Systems.
IGARSS,Tong Zhang,conf/igarss/YangZ05,A prototype design of visual spatial data mining system.
ESWC (2),Nigel Shadbolt,conf/esws/SalvadoresCHGS11,The Design and Implementation of Minimal RDFS Backward Reasoning in 4store.
,Yong Tang,journals/kais/HuangJPCT13,Skyline distance: a measure of multidimensional competence.
UC,Liang Zhang,conf/uc/Zhang10,The Extended Glider-Eater Machine in the Spiral Rule.
MSST,Darrell D. E. Long,conf/mss/ShahPAL04,Identifying Stable File Access Patterns.
WWW,Peter Brusilovsky,conf/www/AhnB10,What you see is what you search: adaptive visual search framework for the web.
,Floriana Esposito,journals/corr/VergariME16,Towards Representation Learning with Tractable Probabilistic Models.
ER,Toni Urpí,conf/er/QueraltRTFU10,AuRUS: Automated Reasoning on UML/OCL Schemas.
ICNSC,Bo Zhao,conf/icnsc/XuLZ15,Optimal scheduling of microgrid with consideration of demand response in smart grid.
NIPS,Zohar Shay Karnin,conf/nips/HazanK12,A Polylog Pivot Steps Simplex Algorithm for Classification.
Web Intelligence,Achim G. Hoffmann,conf/webi/YooH05,Pseudo-Relevance Feedback in Web Information Retrieval Using Segments' Subjective Importance Values.
ISER,Hirochika Inoue,conf/iser/OtakeNII04,Wave-shape pattern control of electroactive polymer gel robots.
ICWE,Alfons Kemper,conf/icwe/WimmerEEK04,Reliable and Adaptable Security Engineering for Database-Web Services.
,Arnab Nandi,journals/debu/Nandi16,Letter from the 2016 IEEE TCDE Early Career Award Winner.
KES (3),Yoshiteru Ishida,conf/kes/Ishida07a,Symmetries on Asymmetric Wars: Generalists (HIVs) Versus Specialists (T-cells).
,Ryen W. White,journals/jasis/Gonzalez-Ibanez15,Capturing 
SIGIR,Pável Calado,conf/sigir/AlmeidaGCC07,A combined component approach for finding collection-adapted ranking functions based on genetic programming.
,Frederick Hayes-Roth,journals/ker/Hayes-Roth84,Knowledge-based expert systems - The State of the Art in the US.
,Nando de Freitas,journals/corr/WangSJF14,Bayesian Multi-Scale Optimistic Optimization.
UAI,Marek J. Druzdzel,conf/uai/ChengD00,Computational Investigation of Low-Discrepancy Sequences in Simulation Algorithms for Bayesian Networks.
ECAI,Andrew Stevens,conf/ecai/Stevens88,A Rational Reconstruction of Boyer and Moore's Technique for Constructing Induction Formulas.
,Shlomo Moran,journals/tods/Moran83,On the Complexity of Designing Optimal Partial-Match Retrieval Systems.
,Nicolas Usunier,books/sp/AminiU15,Learning with Partially Labeled and Interdependent Data
,Christopher Leckie,journals/ijon/WangL12,Improved Gaussian process classification via feature space rotation.
COMMA,Claire Cardie,conf/comma/ParkC14,AsseSS: A Tool for Assessing the Support Structures of Arguments in User Comments.
,Renata Wassermann,journals/logcom/FingerW07,Anytime Approximations of Classical Logic from Above.
WWW (Companion Volume),Sebastiano Vigna,conf/www/BoldiMSV14,BUbiNG: massive crawling for the masses.
NIPS,Ali Rahimi,conf/nips/YangR11,Structure Learning for Optimization.
COLING,Keh-Yih Su,conf/coling/WangZS14,Dynamically Integrating Cross-Domain Translation Memory into Phrase-Based Machine Translation during Decoding.
,Christopher C. Yang,journals/tist/YangY15,Using Health-Consumer-Contributed Data to Detect Adverse Drug Reactions by Association Mining with Temporal Analysis.
ICML,Bernhard Schölkopf,conf/icml/SongZSGS08,Tailoring density estimation via reproducing kernel moment matching.
,Michael Strube 0001,journals/jair/PonzettoS07,Knowledge Derived From Wikipedia For Computing Semantic Relatedness.
ICASSP,Nelson Morgan,conf/icassp/FariaM08,Corrected tandem features for acoustic model training.
,Ramesh Jain,journals/ijsc/SinhaJ08,Semantics in Digital Photos: a 
ACPR,Gang Xu,conf/acpr/HanCX15,Co-occurrence context of the data-driven quantized local ternary patterns for visual recognition.
LICS,Moshe Y. Vardi,conf/lics/KupfermanSV96,Relating Word and Tree Automata.
MASCOTS,Deborah Estrin,conf/mascots/HelmyE98,Simulation-based 'STRESS' Testing Case Study: A Multicast Routing Protocol.
,Steven Salzberg,journals/comgeo/RomanikS95,Testing Orthogonal Shapes.
CIKM,Tetsuya Ishikawa,conf/cikm/TakakiFI04,Associative document retrieval by query subtopic analysis and its application to invalidity patent search.
,Mary Lou Maher,journals/aiedam/DuffyBM96,Special Issue: Machine learning in design.
Canadian Conference on AI,Bahareh Bina,conf/ai/KhosraviB10,A Survey on Statistical Relational Learning.
ICDCS,Philip A. Chou,conf/icdcs/LiuCSCLC10,P2P Streaming Capacity under Node Degree Bound.
WAIM,Chong-Sun Hwang,conf/waim/ParkSH05,Location-Based Caching Scheme for Mobile Clients.
